cycle: 21; nbPreys: 838; minEnergyPreys: 2.3176867558052927E-5; maxSizePreys: 0.8451060847193334; minAgePrey: 1.0; maxAgePrey: 5.200000000000002; nbPredators: 31; minEnergyPredators: 0.8545; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 5.200000000000002
cycle: 22; nbPreys: 701; minEnergyPreys: 5.204170427930421E-18; maxSizePreys: 0.7934492219742353; minAgePrey: 1.0; maxAgePrey: 5.400000000000002; nbPredators: 32; minEnergyPredators: 0.8285; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 5.400000000000002
cycle: 23; nbPreys: 623; minEnergyPreys: 3.088305587956707E-4; maxSizePreys: 0.7504411764705877; minAgePrey: 1.0; maxAgePrey: 5.600000000000002; nbPredators: 35; minEnergyPredators: 0.3333333333333333; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 5.600000000000002
cycle: 24; nbPreys: 518; minEnergyPreys: 7.058823529413364E-4; maxSizePreys: 0.7070000000000002; minAgePrey: 1.2; maxAgePrey: 5.8000000000000025; nbPredators: 35; minEnergyPredators: 0.8063333333333333; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 5.8000000000000025
cycle: 25; nbPreys: 453; minEnergyPreys: 7.00107213022369E-4; maxSizePreys: 0.6660000000000001; minAgePrey: 1.0; maxAgePrey: 6.000000000000003; nbPredators: 36; minEnergyPredators: 0.893; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 6.000000000000003
cycle: 26; nbPreys: 324; minEnergyPreys: 3.676470588234986E-4; maxSizePreys: 0.6200784313725487; minAgePrey: 1.0; maxAgePrey: 6.200000000000003; nbPredators: 36; minEnergyPredators: 0.865; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 6.200000000000003
cycle: 27; nbPreys: 251; minEnergyPreys: 7.677183465103297E-4; maxSizePreys: 0.5800784313725487; minAgePrey: 1.0; maxAgePrey: 6.400000000000003; nbPredators: 36; minEnergyPredators: 0.8365; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 6.400000000000003
cycle: 28; nbPreys: 200; minEnergyPreys: 2.058823529412189E-4; maxSizePreys: 0.5400784313725486; minAgePrey: 1.0; maxAgePrey: 6.600000000000003; nbPredators: 36; minEnergyPredators: 0.86; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 6.600000000000003
cycle: 29; nbPreys: 145; minEnergyPreys: 0.0020000000000005604; maxSizePreys: 0.5095784313725487; minAgePrey: 1.2; maxAgePrey: 6.800000000000003; nbPredators: 39; minEnergyPredators: 0.31383333333333335; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 6.800000000000003
cycle: 30; nbPreys: 114; minEnergyPreys: 0.0015196078431371461; maxSizePreys: 0.48857843137254864; minAgePrey: 1.4; maxAgePrey: 7.0000000000000036; nbPredators: 39; minEnergyPredators: 0.2838333333333333; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 7.0000000000000036
cycle: 31; nbPreys: 87; minEnergyPreys: 7.839650648260657E-4; maxSizePreys: 0.45707843137254867; minAgePrey: 1.7999999999999998; maxAgePrey: 7.200000000000004; nbPredators: 39; minEnergyPredators: 0.2533333333333333; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 7.200000000000004
cycle: 32; nbPreys: 70; minEnergyPreys: 0.0020000000000003626; maxSizePreys: 0.43507843137254865; minAgePrey: 1.9999999999999998; maxAgePrey: 7.400000000000004; nbPredators: 39; minEnergyPredators: 0.2223333333333333; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 7.400000000000004
cycle: 33; nbPreys: 53; minEnergyPreys: 9.41369710801887E-4; maxSizePreys: 0.4125784313725487; minAgePrey: 2.1999999999999997; maxAgePrey: 7.600000000000004; nbPredators: 39; minEnergyPredators: 0.1908333333333333; maxSizePredators: 1.0; minAgePredators: 1.7999999999999998; maxAgePredators: 7.600000000000004
cycle: 34; nbPreys: 46; minEnergyPreys: 0.0017226766474448402; maxSizePreys: 0.39957843137254867; minAgePrey: 2.4; maxAgePrey: 7.800000000000004; nbPredators: 39; minEnergyPredators: 0.1588333333333333; maxSizePredators: 1.0; minAgePredators: 1.9999999999999998; maxAgePredators: 7.800000000000004
cycle: 35; nbPreys: 40; minEnergyPreys: 0.0011666666666665243; maxSizePreys: 0.38607843137254866; minAgePrey: 2.6; maxAgePrey: 8.000000000000004; nbPredators: 39; minEnergyPredators: 0.1263333333333333; maxSizePredators: 1.0; minAgePredators: 2.1999999999999997; maxAgePredators: 8.000000000000004
cycle: 36; nbPreys: 32; minEnergyPreys: 0.001901960784313643; maxSizePreys: 0.39207843137254866; minAgePrey: 2.8000000000000003; maxAgePrey: 8.200000000000003; nbPredators: 42; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 8.200000000000003
cycle: 37; nbPreys: 25; minEnergyPreys: 0.012062091503267938; maxSizePreys: 0.39757843137254867; minAgePrey: 3.0000000000000004; maxAgePrey: 8.400000000000002; nbPredators: 42; minEnergyPredators: 0.05983333333333329; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 8.400000000000002
cycle: 38; nbPreys: 18; minEnergyPreys: 0.02806209150326794; maxSizePreys: 0.4125784313725487; minAgePrey: 3.2000000000000006; maxAgePrey: 8.600000000000001; nbPredators: 42; minEnergyPredators: 0.015833333333333276; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 8.600000000000001
